opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,manager,regional_office,deal_won
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,services,2003.0,692.19,1922.0,United States,Unknown,GTX,550.0,Celia Rouche,West,1
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,medical,1996.0,439.21,792.0,United States,Unknown,MG,3393.0,Cara Losch,East,1
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,marketing,1984.0,3027.46,9516.0,Jordan,Unknown,GTX,1096.0,Cara Losch,East,1
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,medical,1984.0,441.08,1210.0,United States,Unknown,MG,55.0,Dustin Brinkmann,Central,1
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,55.0,Dustin Brinkmann,Central,0
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,finance,1987.0,1698.2,3798.0,United States,Unknown,GTX,550.0,Melvin Marxen,Central,0
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,marketing,1985.0,375.43,1190.0,United States,Unknown,GTX,1096.0,Melvin Marxen,Central,1
EG7OFLFR,Kami Bicknell,GTX Basic,unknow,Engaging,2016-11-14,2017-08-02,472.0,Unknown,Unknown,1698.2,3492.0,Unknown,Unknown,GTX,550.0,Summer Sewald,West,0
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,retail,2007.0,894.33,1635.0,Italy,Unknown,GTX,1096.0,Melvin Marxen,Central,1
OLVI7L8M,Cassey Cress,GTXPro,unknow,Engaging,2016-11-16,2017-08-02,472.0,Unknown,Unknown,1698.2,3492.0,Unknown,Unknown,Unknown,1096.0,Rocco Neubert,East,0
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,technolgy,2005.0,1520.66,1806.0,United States,Unknown,MG,3393.0,Melvin Marxen,Central,1
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,finance,2008.0,52.5,165.0,United States,Unknown,GTX,550.0,Summer Sewald,West,1
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,retail,2001.0,2437.85,4874.0,United States,Unknown,GTX,550.0,Celia Rouche,West,0
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,technolgy,1983.0,1008.06,1238.0,United States,Unknown,GTX,1096.0,Melvin Marxen,Central,0
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,telecommunications,1999.0,1699.85,5108.0,United States,Unknown,GTX,5482.0,Summer Sewald,West,1
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,finance,2006.0,1102.43,1759.0,United States,Unknown,GTX,1096.0,Melvin Marxen,Central,1
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,employment,1988.0,2059.9,3644.0,United States,Unknown,GTX,1096.0,Summer Sewald,West,1
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,medical,1992.0,3922.42,6837.0,United States,Unknown,GTX,550.0,Melvin Marxen,Central,1
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,finance,1987.0,1698.2,3798.0,United States,Unknown,MG,3393.0,Dustin Brinkmann,Central,1
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0,finance,1991.0,2819.5,7227.0,United States,Golddex,Unknown,1096.0,Melvin Marxen,Central,0
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,3393.0,Melvin Marxen,Central,1
F5U1ACDD,Kami Bicknell,GTX Plus Basic,unknow,Engaging,2016-11-19,2017-08-02,472.0,Unknown,Unknown,1698.2,3492.0,Unknown,Unknown,GTX,1096.0,Summer Sewald,West,0
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0,finance,1994.0,355.23,853.0,United States,Unknown,Unknown,1096.0,Rocco Neubert,East,1
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,medical,1994.0,2818.38,6290.0,United States,Unknown,GTX,5482.0,Rocco Neubert,East,1
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,entertainment,1992.0,324.19,978.0,United States,Unknown,GTK,26768.0,Celia Rouche,West,1
ZZY4516R,Hayden Neloms,MG Advanced,unknow,Engaging,2016-11-20,2017-08-02,472.0,Unknown,Unknown,1698.2,3492.0,Unknown,Unknown,MG,3393.0,Celia Rouche,West,0
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,marketing,2000.0,2952.73,5107.0,United States,Unknown,GTX,1096.0,Summer Sewald,West,1
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,retail,2001.0,718.62,2448.0,United States,Unknown,MG,3393.0,Dustin Brinkmann,Central,0
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,technolgy,1987.0,2938.67,8775.0,Panama,Unknown,GTX,550.0,Dustin Brinkmann,Central,1
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,2017-08-02,472.0,services,2003.0,692.19,1922.0,United States,Unknown,GTX,550.0,Summer Sewald,West,0
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,marketing,1995.0,2173.98,2928.0,United States,Inity,GTX,1096.0,Melvin Marxen,Central,1
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,software,1982.0,11698.03,34288.0,United States,Unknown,GTX,550.0,Rocco Neubert,East,1
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,services,1987.0,405.59,1179.0,Brazil,Warephase,MG,3393.0,Celia Rouche,West,0
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,employment,1983.0,2871.35,9561.0,United States,Unknown,Unknown,1096.0,Summer Sewald,West,1
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,medical,1992.0,3922.42,6837.0,United States,Unknown,MG,3393.0,Dustin Brinkmann,Central,1
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0,technolgy,2005.0,1520.66,1806.0,United States,Unknown,Unknown,1096.0,Melvin Marxen,Central,1
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,marketing,2008.0,894.37,1593.0,Poland,Unknown,GTX,1096.0,Summer Sewald,West,0
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,medical,1991.0,326.82,1016.0,United States,Unknown,MG,55.0,Cara Losch,East,1
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,Unknown,1096.0,Melvin Marxen,Central,1
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,entertainment,2002.0,349.81,315.0,United States,Unknown,GTX,550.0,Summer Sewald,West,1
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0,retail,1995.0,332.43,799.0,United States,Unknown,GTX,550.0,Melvin Marxen,Central,1
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,finance,1993.0,646.1,883.0,United States,Golddex,MG,3393.0,Cara Losch,East,0
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,MG,55.0,Dustin Brinkmann,Central,1
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,software,2013.0,98.79,96.0,United States,Bubba Gump,Unknown,1096.0,Celia Rouche,West,1
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,2016-11-23,2017-08-02,472.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550.0,Cara Losch,East,0
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,employment,1997.0,882.12,2769.0,United States,Unknown,GTX,5482.0,Cara Losch,East,1
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,retail,2004.0,702.72,1831.0,United States,Unknown,MG,55.0,Rocco Neubert,East,0
GYB4W2AU,Elease Gluck,MG Advanced,unknow,Engaging,2016-11-23,2017-08-02,472.0,Unknown,Unknown,1698.2,3492.0,Unknown,Unknown,MG,3393.0,Celia Rouche,West,0
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Unknown,1096.0,Melvin Marxen,Central,1
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,finance,2006.0,1102.43,1759.0,United States,Unknown,MG,3393.0,Melvin Marxen,Central,1
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,2016-11-23,2017-08-02,472.0,medical,2004.0,1618.89,3889.0,United States,Unknown,MG,55.0,Celia Rouche,West,0
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0,employment,1983.0,2871.35,9561.0,United States,Unknown,GTX,550.0,Celia Rouche,West,1
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0,employment,1997.0,291.27,586.0,United States,Unknown,MG,3393.0,Dustin Brinkmann,Central,1
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,finance,1998.0,2022.14,5113.0,United States,Unknown,MG,3393.0,Rocco Neubert,East,1
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,2016-11-24,2017-08-02,472.0,retail,1989.0,1388.67,3583.0,United States,Unknown,GTX,1096.0,Rocco Neubert,East,0
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,2017-08-02,472.0,software,2002.0,987.39,2253.0,United States,Unknown,GTX,1096.0,Summer Sewald,West,0
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0,telecommunications,1995.0,1825.82,5595.0,United States,Sonron,GTX,1096.0,Summer Sewald,West,1
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,1096.0,Melvin Marxen,Central,0
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0,software,1982.0,4618.0,10083.0,United States,Unknown,MG,55.0,Dustin Brinkmann,Central,1
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0,technolgy,1980.0,7708.38,13756.0,United States,Unknown,MG,3393.0,Celia Rouche,West,1
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,MG,55.0,Dustin Brinkmann,Central,1
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,MG,3393.0,Dustin Brinkmann,Central,1
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,medical,1999.0,251.41,495.0,United States,Unknown,GTX,5482.0,Cara Losch,East,1
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0,medical,1999.0,251.41,495.0,United States,Unknown,Unknown,1096.0,Cara Losch,East,1
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0,entertainment,1998.0,217.87,551.0,United States,Unknown,MG,55.0,Melvin Marxen,Central,1
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,MG,55.0,Cara Losch,East,1
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0,entertainment,1998.0,217.87,551.0,United States,Unknown,MG,55.0,Dustin Brinkmann,Central,0
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739.0,finance,2006.0,1102.43,1759.0,United States,Unknown,Unknown,1096.0,Melvin Marxen,Central,1
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,technolgy,2000.0,1223.72,2497.0,Norway,Unknown,GTX,1096.0,Melvin Marxen,Central,1
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0,retail,2003.0,1419.98,4018.0,United States,Unknown,MG,55.0,Rocco Neubert,East,1
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0,technolgy,1980.0,7708.38,13756.0,United States,Unknown,GTX,550.0,Cara Losch,East,1
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0,medical,2017.0,4.54,9.0,United States,Unknown,GTX,550.0,Summer Sewald,West,1
PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,2016-11-27,2017-08-02,472.0,finance,1994.0,355.23,853.0,United States,Unknown,MG,3393.0,Celia Rouche,West,0
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0,technolgy,1980.0,7708.38,13756.0,United States,Unknown,GTX,550.0,Celia Rouche,West,1
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0,entertainment,1989.0,665.06,1095.0,United States,Unknown,Unknown,1096.0,Cara Losch,East,1
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0,technolgy,2010.0,587.72,1501.0,United States,Unknown,GTX,5482.0,Summer Sewald,West,1
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0,services,1982.0,792.46,1299.0,United States,Unknown,GTX,5482.0,Summer Sewald,West,1
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,retail,2007.0,894.33,1635.0,Italy,Unknown,GTX,1096.0,Melvin Marxen,Central,1
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,550.0,Summer Sewald,West,1
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0,services,1982.0,792.46,1299.0,United States,Unknown,GTX,1096.0,Summer Sewald,West,1
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0,finance,1987.0,1698.2,3798.0,United States,Unknown,MG,55.0,Dustin Brinkmann,Central,1
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,57.0,marketing,2012.0,45.39,100.0,United States,Inity,MG,55.0,Melvin Marxen,Central,1
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,0.0,medical,1992.0,3922.42,6837.0,United States,Unknown,MG,55.0,Dustin Brinkmann,Central,0
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,1096.0,Dustin Brinkmann,Central,1
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0,retail,2003.0,1419.98,4018.0,United States,Unknown,MG,3393.0,Cara Losch,East,1
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0,software,1979.0,4478.47,13809.0,United States,Unknown,MG,3393.0,Rocco Neubert,East,1
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0,retail,1990.0,2520.83,3502.0,United States,Unknown,GTX,550.0,Cara Losch,East,1
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,0.0,marketing,1995.0,2173.98,2928.0,United States,Inity,GTX,1096.0,Dustin Brinkmann,Central,0
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0,telecommunications,1994.0,6395.05,20275.0,United States,Unknown,MG,3393.0,Rocco Neubert,East,1
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0,retail,1990.0,2520.83,3502.0,United States,Unknown,GTX,550.0,Cara Losch,East,1
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590.0,technolgy,1980.0,7708.38,13756.0,United States,Unknown,GTX,550.0,Cara Losch,East,1
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511.0,software,1982.0,4618.0,10083.0,United States,Unknown,Unknown,1096.0,Melvin Marxen,Central,1
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0.0,finance,2006.0,1102.43,1759.0,United States,Unknown,MG,3393.0,Dustin Brinkmann,Central,0
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546.0,retail,2001.0,718.62,2448.0,United States,Unknown,GTX,550.0,Melvin Marxen,Central,1
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46.0,employment,1983.0,2871.35,9561.0,United States,Unknown,MG,55.0,Celia Rouche,West,1
A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891.0,medical,1992.0,3922.42,6837.0,United States,Unknown,Unknown,1096.0,Melvin Marxen,Central,1
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0,finance,2008.0,52.5,165.0,United States,Unknown,GTX,1096.0,Celia Rouche,West,1
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0,telecommunications,1999.0,1699.85,5108.0,United States,Unknown,GTX,1096.0,Celia Rouche,West,1
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59.0,services,1987.0,405.59,1179.0,Brazil,Warephase,MG,55.0,Celia Rouche,West,1
22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406.0,employment,1997.0,291.27,586.0,United States,Unknown,Unknown,1096.0,Melvin Marxen,Central,1
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550.0,Summer Sewald,West,1
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,GTX,550.0,Dustin Brinkmann,Central,1
